Name;parole
GENERAL HUX ; Well then. If it's on Jakku, we'll soon have it.
KYLO REN ; I leave that to you.
REY ; Don't give up. He still might show up. Whoever it is you're waiting for. Classified. I know all about waiting.
REY ; For my family. They'll be back. One day. Come on.
UNKAR ; These five pieces are worth... Let me see here... One half portion.
REY ; Last week they were a half portion each.
UNKAR ; What about the droid?
REY ; What about him?
UNKAR ; I'll pay for him.
UNKAR ; Sixty portions.
REY ; Actually... the droid's not for sale. Come on.
UNKAR ; Follow the girl and get that droid.
STORMTROOPER ; Ren wants the prisoner.
STORMTROOPER ; Turn here.
STORMTROOPER ; Listen carefully you do exactly as I say, I can get you out of here.
POE ; If what ?
FINN ; This is a rescue, I'm helping you escape. Can you fly a TIE fighter?
POE ; You with the Resistance ?!
FINN ; What? No no no! I'm breaking you out. Can you fly a TIE fighter?
POE ; I can fly anything. Why, why are you helping me?
FINN ; Because it's the right thing to do.
POE ; You need a pilot.
FINN ; I need a pilot.
POE ; We're gonna do this.
FINN ; Yeah?
FINN ; Okay, stay calm, stay calm.
POE ; I am calm.
FINN ; I'm talking to myself. Not yet. Okay, go. This way.
POE ; I always wanted to fly one of these things. Can ya shoot?
FINN ; Blasters, I can!
POE ; Okay, same principal! Use the toggle on the left to switch between missiles, cannons, and mag pulse use the site on the right to aim, triggers to fire!
FINN ; This is very complicated
POE ; I can fix this.
STAR DESTROYER TECHNICIAN ; We have an unsanctioned departure from bay two.
FIRST ORDER COLONEL ; Alert General Hux and stop that fighter.
POE ; I got it!
POE ; Woooahhh! This thing really moves. All right, we gotta take out as many cannons as we can or we're not gonna get very far!
FINN ; All right!
POE ; I'm gonna get us in position, just stay sharp!
POE ; Up ahead! Up ahead! You see it? I've got us dead centered. It's a clean shot.
FINN ; Okay, got it.
FINN ; YES! You see that?! DID YOU SEE THAT?
POE ; I saw it! Hey, what's your name?
FINN ;FN-2187!
POE ; FN-whaa?
FINN ; That's the only name they ever gave me!
POE ; Well I ain't using it! FN, huh? Finn. I'm gonna call you Finn! That all right?
FINN ; Finn. Yeah, Finn, I like that! I like that!
POE ; I'm Poe. Poe Dameron.
FINN ; Good to meet you, Poe!
POE ; Good to meet you too, Finn!
LIEUTENANT MITAKA ; Sir, they've taken out our turbolasers
GENERAL HUX ; Use the ventral cannons.
LIEUTENANT MITAKA ; Yes, sir. Bringing them online
KYLO REN ; General Hux. Is it the Resistance pilot?
GENERAL HUX ; Yes, and he had help. From one of our own.
GENERAL HUX ; We're checking the registers now to identify which Stormtrooper it was.
KYLO REN ;The one from the village. FN-2187.
LIEUTENANT MITAKA ; Sir. Ventral cannons hot.
GENERAL HUX ; Fire.
POE ; One's coming towards you. My right, your left. Do you see it?
FINN ; Hold on! I see it!
POE ; Nice shot.
FINN ; Where are you going?
POE ; We're going back to Jakku. That's where.
FINN ; No no no! We can't go back to Jakku! We need to get outta this system!
POE ; I got to get to my droid before the First Order does!
FINN ;  What  a droid?!
POE ; That's right. He's a BB unit! Orange and white one of a kind.
FINN ; I don't care what color he is! No droid can be that important!
POE ; This one is, pal.
FINN ; We need to get as far away from the First Order as we can! We go back  to Jakku, we die!
POE ; That droid's got a map that leads straight to Luke Skywalker!
FINN ; Oh, you gotta be kidding me!!!
CAPTAIN PHASMA ;FN-2187 reported to my division, was evaluated and sent to Reconditioning.
GENERAL HUX ; No prior signs of non-conformity?
CAPTAIN PHASMA ; This was his first offense.
TECHNICIAN 1; General. They've been hit.
GENERAL HUX ; Destroyed?
TECHNICIAN 1; Disabled. They were headed back to Jakku the fighter's projected to crash in the Goazon badlands.
GENERAL HUX ; They were going back for the droid send a squad to the wreckage.
FINN ; Poe! Poe!
FINN ; Poe!!! POE!
FINN ; POE!!! POE!!!
GENERAL HUX ; Supreme Leader Snoke was explicit. Capture the droid if we can, but destroy it if we must.
KYLO REN ; How capable are your soldiers, General?
GENERAL HUX ; I won't have you question my methods.
KYLO REN ; They're obviously skilled at committing high treason. Perhaps Leader Snoke should consider using a clone army.
GENERAL HUX ; My men are exceptionally traine programmed from birth
KYLO REN ; Then they should have no problem retrieving the droid. Unharmed.
GENERAL HUX ;  Careful, Ren. That your personal interests not interfere with orders from Leader Snoke.
KYLO REN ; I want that map. For your sake, I suggest you get it.
FINN ; Water... water... water..
FINN ; Awgh, GAH!
REY ; Who? Him?
REY ; What's your hurry, thief?
FINN ; What?! Thief?
FINN ; OW! HEY! What?!
REY ; The jacket! This droid says you stole it!
FINN ;I've had a pretty messed up day, alright?! So I'd appreciate it you stop accusing me
REY ; Where'd you get it? It belongs to his master.
FINN ; It belonged to Poe Dameron. That was his name, right?
FINN ; He was captured... by the First Order! I helped him escape but our ship crashed. Poe didn't make it. Look, I tried to help him. I'm sorry...
REY ; So you're with the Resistance?
FINN ; Obviously. Yes. I am. I'm with the Resistance, yeah. I'm with the Resistance.
REY ; I've never met a Resistance fighter before.
FINN ; Well, this is what we look like. Some of us. Others look different.
REY ;BB-8 says he's on a secret mission, he has to get back to your base.
FINN ; Apparently he's carrying a map that leads to Luke Skywalker, and everyone's after it.
REY ; Luke Skywalker? I thought he was a myth.
REY ; What is it?
REY ; What are you doing?!
FINN ; Come on!
FINN ;Come on, BB-8!
REY ; Let go of me!
FINN ; No, we gotta move!
REY ;I know how to run without you holding my hand! BB-8 stay close! This way!
STORMTROOPER ; Call in the air strike!
REY ; They're shooting at both of us!
FINN ; Yeah, they saw you with me! You're marked!
REY ; Well, thanks for that!
FINN ; I'm not the one who chased you down with a stick! Does anyone have blasters around here?!
REY ; Are you okay?
REY ; Stop taking my hand!
REY ; Hey!
FINN ; Are you okay?
REY ; Yeah. Follow me.
FINN ; We can't outrun them!
REY ; We might in that quad-jumper!
FINN ; We need a pilot!
REY ; We've got one!
FINN ; You?!
REY ; That one's garbage!
REY ; The garbage'll do!
REY ; Gunner position's down there!
FINN ; Y'ever fly this thing?
REY ; No! This ship hasn't been flown in years!
FINN ; Great. Whoa! I can do this, I can do this--
REY ; I can do this, I can do this
UNKAR ; HEY!!!! THAT'S MIIIIIIINE!!!
FINN ; Whoa! Hey! Oh! Stay low! Stay low!
REY ; WHAT?
FINN ; Stay low! It confuses their tracking!
REY ;BB-8, hold on!
REY ; I'M GOING LOW!!!
REY ; What are you doing back there? Are you ever gonna fire back?!
FINN ; I'm working on it! Are the shields up?
REY ; Not so easy without a co-pilot!
FINN ; Try sitting in this thing!
FINN ; We need cover, quick!
REY ; We're about to get some! I hope.
FINN ; Damn it!
FINN ; Come on... come on...
REY ; Nice shot!
FINN ; I'm getting pretty good at this!
FINN ; The cannon's stuck in forward position, I can't move it! You gotta lose 'em!
REY ; Get ready!
FINN ; Okay! For what?
FINN ; ARE WE REALLY DOING THIS?!
REY ; Oh no!
FINN ; Whooo!
REY ; FINN Good shooting! Thanks! I Now that was some I don't know! I've flying! How did you flown some ships but I've do that?! No one never left the planet! trained you? No one? Your last shot was dead That was amazing! on. You got him with one blast! You set me up for it! It was perfect! That was pretty good.
REY ; You're ok. He's with the Resistance. He's going to get you home. We both will. I don't know your name.
FINN ; Finn. What's yours.
REY ; I'm Rey.
FINN ; Rey...
REY ; Help me with this! Quick!
FINN ; Whoa! What's going on?
LIEUTENANT MITAKA ; Sir. We were unable to acquire the droid on Jakku.
LIEUTENANT MITAKA ; It escaped capture aboard a stolen Corellian YT model freighter.
KYLO REN ; The droid... stole a freighter?
LIEUTENANT MITAKA ; Not exactly, sir. It had help.
LIEUTENANT MITAKA ;We have no confirmation, but we believe FN-2187 may have been helped in the escape--
KYLO REN ; Anything else?
LIEUTENANT MITAKA ; The two were accompanied by a girl.
KYLO REN ; What girl?
REY ; It's the motivator! Grab me a Harris wrench check in there!
FINN ; How bad is it?!
REY ; If we wanna live, not good!
FINN ; They're hunting for us now, we gotta get outta this system!
REY ;BB-8 said the location of the Resistance Base is need to know if I'm taking you there, I need to know!
FINN ; This?
FINN ; You gotta tell us where the base is. I don't speak that. Alright, between us, I'm not with the Resistance, okay? I'm just trying to get away from the First Order but you tell us where your base is, I'll get there first deal?! Droid, please.
REY ; Pilex driver, hurry!
REY ; So where's your base?
FINN ;Go on BB-8, tell her. Please!
REY ; The Ileenium system?
FINN ; Yeah, the Ileenium system, that's the one -- get us there as fast as you can.
REY ; I'll drop you two at Ponemah Terminal. I need the bonding tape, hurry!
FINN ; What about you?
REY ; I gotta get back to Jakku!
FINN ; BACK TO Jakku?! Why does everyone always wanna go back to Jakku?! !
REY ; No, that one! No. No. The one I'm pointing to! No. NO. NO. If we don't patch it up, the propulsion tank will overflow and flood the ship with poisonous gas!
FINN ; This?
REY ; Yes!
FINN ; Hey. Rey. You're a pilot you can fly anywhere! Why go back?! You got a family? You got a boyfriend? Cute boyfriend?
REY ; None of your business, THAT'S WHY!
FINN ; That can't be good.
REY ; Someone's locked onto us all controls are overridden.
REY ; Get off. Get off! See anything?
FINN ; Oh no.
FINN ; It's the First Order.
REY ; What do we do  there must be
FINN ; You said poisonous gas
REY ; ah, but I fixed that
FINN ;  Can you unfix it?
REY ;C'mon BB-8.
FINN ; I got it.
REY ; Oooh...
FINN ;I'm okay. BB-8 get off me...
REY ; You think this'll work on the Stormtroopers?
FINN ; Yeah. Their masks filter out smoke, not toxins.
FINN ; Hurry!
REY ; I'm hurrying!
HAN ;Chewie, we're home.
HAN ; Where are the others? Where's the pilot?
REY ; I'm the pilot
HAN ; You?
REY ; No, it's true we're the only ones on board.
FINN ; You can understand that thing?
HAN ; And that thing can understand you too, so watch it. Come on outta there.
HAN ; Where'd you get this ship?
REY ; Niima Outpost.
HAN ; Jakku?! That junkyard?
FINN ; Thank you! Junkyard!
HAN ; Told ya we should've double-checked the Western Reaches! Who had it, Ducain?
REY ; I stole it from Unkar Plutt. He stole it from the Irving Boys, who stole it from Ducain.
HAN ; Who stole it from me! Well, you tell him Han Solo just stole back the Millennium Falcon for good.
REY ; This is the Millennium Falcon? You're Han Solo?
HAN ; I used to be.
FINN ; Han Solo? The Rebellion General?
RE ; No, the smuggler!
FINN ; Wasn't he a war hero?!
REY ; This is the ship that made the Kessel Run in fourteen parsecs...!
HAN ; Twelve! Fourteen.
HAN ; Hey! Some moof-milker put a compressor on the ignition line!
REY ; Unkar Plutt did. I thought it was a mistake too, puts too much stress on
HAN ; Chewie, throw 'em in a pod, we'll drop them at the nearest inhabited planet.
REY ; Wait! No -- we need your help!
HAN ; My help?
REY ; This droid has to get to the Resistance base as soon as possible!
FINN ; He's carrying a map to Luke Skywalker.
FINN ; You are the Han Solo that fought with the Rebellion. You knew him.
HAN ; Yeah, I knew him. I knew Luke.
HAN ; Don't tell me a Rathtar's gotten LOOSE
FINN ; Wait a what?! Did you just say Rathtars? Hey!
FINN ; You're not hauling Rathtars on this freighter, are you?
HAN ; I'm hauling Rathtars.
HAN ; Oh great. It's the Guavian Death Gang -- they must've tracked us from Nantoon.
REY ; What's a Rathtar?
HAN ; They're big and dangerous...
FINN ; Y'ever heard of the Trillia Massacre?!
REY ; No.
FINN ; Good.
HAN ; I got three of 'em going to King Prana.
FINN ; THREE?! How'd you get them on board?
HAN ; I used to have a bigger crew.
HAN ; Get below deck and stay there until I say so -- don't even think about taking the Falcon.
REY ;What about BB-8?
HAN ; He stays with me -- until I get rid of the gang, then you can have him back and be on your way.
FINN ; What about the Rathtars... where are you keeping them?
HAN ; There's one.
REY ; What are you gonna do?
HAN ; Same thing I always do talk my way out of it. Yes, I do. Every time.
BALA-TIK ; Han Solo. You are a dead man.
HAN ; Bala-Tik. What's the problem?
BALA-TIK ; The problem is we loaned you fifty thousand for this job.
REY ; Can you see them?
FINN ; No.
BALA-TIK ; I heard you also borrowed fifty thousand from Kanjiklub.
HAN ; You know you can't trust those little freaks! How long've we known each other?
REY ; They have blasters...
FINN ; A lot of 'em.
BALA-TIK ; The question is how much longer will we know each other? Not long. We want our money back now.
HAN ; Ya think hunting Rathtars is cheap? I spent that money.
BALA-TIK ; Kanjiklub wants their investment back, too.
HAN ; I never made a deal with Kanjiklub!
BALA-TIK ; Tell that to Kanjiklub.
HAN ; Tasu Leech. Good to see you.
TASU LEECH ; Wrong again, Solo. It's over for you.
HAN ; Boys. You're both gonna get what I promised! Have I ever not delivered for you before?
BALA-TIK ; Yeah.
TASU LEECH ; Twice!
HAN ; What was the second time?
BALA-TIK ; Your game is old. There's no one in the galaxy left for you to swindle.
TASU LEECH ; Nowhere left for you to hide.
BALA-TIK ; That BB unit... the First Order is looking for one just like it. And two fugitives.
HAN ; First I've heard of it.
RAZOO QIN-FEE ; Search the freighter.
REY ; Wait wait wait wait. If we close the blast doors in that corridor, we can trap both gangs!
FINN ; Close the blast doors from here?
REY ; Resetting the fuses should do it.
HAN  ; I got a bad feeling about this
REY ; Oh no.
FINN ; Oh no, what?
REY  ; Wrong fuses.
BALA-TIK ; Kill them! And take the droid!
FINN ; This was a mistake!
REY ; Huge!
REY ; What do they look like?
FINN ; They look like that.
FINN ; This way!
REY ;Are you sure?
REY ; FINN!
FINN ; REY!
REY ; FINN!!!!
REY ; Finn!
FINN ; It had me! But the door--!
REY ; That was lucky!
HAN ; I got the door. Cover us!
HAN ; Chewie! You okay?
HAN ; Wow. Come on! Come on!
REY ; Han!
HAN ; You, close the door behind us! You take care of Chewie!
HAN ; Hey, where are you going?
REY ; Unkar Plutt installed a fuel pump too if we don't prime that we're not going anywhere.
HAN ; I hate that guy.
REY ; And you could use a co-pilot.
HAN ; I got one, he's back there.
HAN ; Watch the thrust, we're goin' out of here at lightspeed
REY ; From inside the hangar? Is that even possible?
HAN ; I never ask that question until after I've done it.
HAN ; This is not how I thought this day was gonna go angle the shields Hang on back there!
FINN ; No problem!
HAN ; Come on baby, don't let me down!
HAN ; What?!
REY ; Compressor.
BALA-TIK ; Inform the First Order that Han Solo has the droid they want. And it's aboard the Millennium Falcon.
SNOKE ; The droid will soon be delivered to the Resistance...
SNOKE ; Leading them to the last Jedi. If Skywalker returns, the new Jedi will rise.
GENERAL HUX ; Supreme Leader, I take full responsibility for
SNOKE ; General! Our strategy must now change.
GENERAL HUX ; The weapon. It is ready. I believe the time has come to use it. We shall destroy the government that supports the Resistance, the Republic. Without their friends to protect them, the Resistance will be vulnerable, and we will stop them before they reach Skywalker.
SNOKE ; Go. Oversee preparations.
GENERAL HUX ; Yes, Supreme Leader.
SNOKE ; There's been an awakening. Have you felt it?
KYLO REN ; Yes.
SNOKE ; There's something more. The droid we seek is aboard the Millennium Falcon. In the hands of your father, Han Solo.
KYLO REN ; He means nothing to me.
SNOKE ; Even you, master of the Knights of Ren, have never faced such a test.
KYLO REN ; By the grace of your training, I will not be seduced.
SNOKE ; We shall see. We shall see.
HAN ; Electrical overload!
REY ; I can fix that!
HAN ; The coolant's leaking!
REY ; Try transferring auxiliary power to the secondary tank
HA ; Secondary tank, I got it!
FINN ; Chewie, come on! I need help with this giant hairy thing! Stop moving! Chewie!
HAN ; You hurt Chewie, you're gonna deal with me!
FINN ; Hurt him?! He almost killed me six times!
HAN ; This hyperdrive blows there's gonna be pieces of us in three different systems.
HAN ; What'd you do?
REY ; I by-passed the compressor.
HAN ; Move, Ball.
HAN ; Nah, don't say that, you did great. Just rest.
HAN ; Good job, kid. And thanks.
FINN ; You're welcome.
HAN ; So, fugitives, huh?
REY ; The First Order wants the map.
REY ; Finn is with the Resistance I'm just a scavenger.
HAN ; Let's see whatcha got.
REY ; Go ahead.
HAN ; This map's not complete. It's just a piece. Ever since Luke disappeared,  people have been looking for him.
REY ; Why'd he leave?
HAN ; He was training a new generation of Jedi. One boy, an apprentice turned against him, destroyed it all. Luke felt responsible... He walked away from everything.
FINN ; Do you know what happened to him?
HAN ; There're a lot of rumors. Stories. The people who knew him the best think he went looking for the first Jedi temple.
REY ; The Jedi were real?
HAN ; I used to wonder that myself. Thought it was a bunch of mumbo-jumbo magical power holding together good, evil, the dark side and the light. 'Crazy thing is, it's true. The Force, the Jedi, all of it. It's all true.
HAN ; No, you rest. You want my help? You're getting it. Gonna see an old friend. She'll get your droid home. This is our stop.
REY ; I didn't know there was this much green in the whole galaxy...
FINN ; Hey, Solo -- I'm not sure what we're walking into here
HAN ;"  D'you just call me ""Solo""?"
FINN ; Sorry. Han-- Mr. Solo. You should know, I'm a big deal in the Resistance. Which puts a real targe on my back. Are there any conspirators here? First Order sympathizers?
HAN ; Listen big deal, you've got another problem. Women always figure out the truth.
HAN ; Always.
HAN ; You might need this.
REY ; I think I can handle myself.
HAN ;  I know you do. That's why I'm giving it to you. Take it.
HAN ; You know how to use one of these?
REY ; Yeah, you pull the trigger.
HAN ; There's a little bit more to it than that. You got a lot to learn. You got a name?
REY ; Rey.
HAN ; Rey. I've been thinkin' about bringing on some more crew, Rey. A second mate. Someone to help out. Someone who can keep up with Chewie and me, appreciates the Falcon.
REY ; Are you offering me a job?
HAN ; I wouldn't be nice to you. It doesn't pay much.
REY ; You're offering me a job.
HAN ; I'm thinking about it.
HAN ; Well?
REY ; If you were, I'd be flattered. But I have to get home.
HAN ; Jakku?
REY ; I've already been away too long.
HAN ; Chewie, check out the ship as best you can.
HAN ; It's too bad. Chewie kind of likes you.
FINN ; Solo, why are we here again?
HAN ; To get your droid on a clean ship.
REY ; Clean?
HAN ;Do you think it was luck that Chewie and I found the Falcon? If we can find it on our scanners, the First Order's not far behind. Want to get BB-8 to the Resistance? Maz Kanata is our best bet.
FINN ; We can trust her, right?
HAN ; Relax, kid. She's run this watering hole for a thousand years. Maz is a bit of an acquired taste, so let me do the talking. And whatever you do, don't stare...
REY ; At what?
FINN ; At what?
HAN ; Any of it.
MAZ ; Han Solo!
HAN ; Oh boy.  Hey, Maz!
MAZ ; Where's my boyfriend?
HAN ; Chewie's working on the Falcon.
MAZ ; I like that Wookiee. I assume you need something. Desperately. Let's get to it.
GA-97; Alert the Resistance. Their missing droid is here!
BAZIN ; Inform the First Order... I've found the droid.
KYLO REN ; Forgive me. I feel it again. The pull to the light. Supreme Leader senses it. Show me again, the power of the darkness, and I will let nothing stand in our way. Show me, Grandfather, and I will finish what you started.
MAZ ; A map to Skywalker himself? You're right back in the mess.
HAN ; Maz, I need you to get this droid to Leia.
MAZ ; Hmm. No. You've been running away from this fight for too long. Han, nyakee nago wadda. Go home!
HAN ; Leia doesn't want to see me.
FINN ; Please, we came here for your help.
REY ; What fight?
MAZ ; The only fight against the dark side. Through the ages, I've seen evil take many forms. The Sith. The Empire. Today, it is the First Order. Their shadow is spreading across the galaxy. We must face them. Fight them. All of us.
FINN ; There is no fight against the First Order! Not one we can win. Look around. There's no chance we haven't been recognized already. I bet you the First Order is on their way right--
FINN ; What's this? What are you doing?
FINN Solo ;  what is she doing?
HAN ; I don't know, but it ain't good.
MAZ ; If you live long enough you see the same eyes in different people. I'm looking at the eyes of a man who wants to run.
FINN ; You don't know a thing about me. Where I'm from. What I've seen.
FINN ; You don't know the First Order like I do. They'll slaughter us. We all  need to run.
MAZ ; You see those two? They'll trade work for transportation to the Outer Rim. There, you can disappear.
REY ; Finn!
FINN ; Come with me.
REY ;What about BB-8? We're not done yet. We have to get him back to your base.
FINN ; I can't.
HAN ; Keep it, kid.
MAZ ; Who's the girl?
FINN ; I was told you could get me to the Outer Rim.
REY ; What are you doing?
FINN ; Don't leave without me.
REY ; You can't just go. I won't let you.
FINN ; I'm not who you think I am.
REY ; Finn, what are you talking about?
FINN ;  I'm not Resistance. I'm not a hero. I'm a Stormtrooper. Like all of them, I was taken from a family I'll never know. And raised to do one thing But my first battle, I made a choice. I wasn't going to kill for them. So I ran. Right into you. And you looked at me like no one ever had. I was ashamed of what I was. But I'm done  with the First Order. I'm never going back. Rey, come with me.
REY ; Don't go.
FINN ; Take care of yourself. Please.
YOUNG GIRL ; NO!
YOUNG GIRL ; No, come back!
UNKAR PLUTT ; Quiet, girl!
REY ; What was that? I shouldn't have gone in there.
MAZ ; That lightsaber was Luke's. And his father's before him and now, it calls to you!
REY ; I have to get back to Jakku.
MAZ ; Han told me. Dear child. I see your eyes. You already know the truth. Whomever you're waiting for on Jakku, they're never coming back. But... there's someone who still could.
REY ; Luke.
MAZ ; The belonging you seek is not behind you. It is ahead. I am no Jedi, but I know the Force. It moves through and surrounds every living thing. Close your eyes. Feel it.
MAZ ; The light. It's always been there. It will guide you. The saber. Take it.
REY ; I'm never touching that again. I don't want any part of this.
GENERAL HUX ; Today is the end of the Republic! The end of a regime that acquiesces to disorder! At this very moment, in a system far from here the New Republic LIES to the GALAXY while secretly supporting the treachery of the loathsome Resistance. This fierce machine which you have built, upon which we stand, will bring an end to the Senate! To their cherished fleet! All remaining systems will bow to the First Order! And will remember this... as the last day of the Republic!
GENERAL HUX ; FIRE!
FINN ; It was the Republic.
FINN ; The First Order, they've done it. Where's Rey?
REY ; What are you doing? You have to go back.
REY ;BB-8. No, you can't -- you have to go back, you're too important. They'll help you.
MAZ ; I've had this for ages...
MAZ ; Kept it locked away.
HAN ; Where'd you get that?
MAZ ; A good question for another time. Take it! Find your friend!
MAZ ; Those beasts! They're here!
STORMTROOPER ;FN-417, hold position!
REY ; Safety!
STORMTROOPER 4; Sir, the droid was spotted heading west, with a girl.
REY ; You have to keep going, stay out of sight, I'll try to fight 'em off. I hope so, too.
HAN ; Come on, Chewie!
MAZ ;Rey and BB-8, they need you. Now go.
FINN ; I need a weapon.
MAZ ; You have one!
HAN ; Hey, can I try that?
HAN ; I like this thing.
STORMTROOPER ; Traitor!
HAN ; You okay, Big deal?
FINN ; Thanks!
STORMTROOPER ;Don't move! TK-338, we have targets in custody!
STORMTROOPER ; We have incoming at two-eight-point- six! Move! Dispatch! Move! Scramble all squads! Repeat, scramble all squads! Anti-air cover en route to our position!
HAN ; It's the Resistance.
POE ; Go straight ahead and don't let these dogs scare you!
JESS ; Copy that!
SNAP ; We're with you, Poe!
HAN ; Quick!
FINN ; Woohoo! YEAH! That's one helluva pilot!
POE ; WOOHOO!
KYLO REN ; The girl I've heard so much about.
KYLO REN ; The droid.
KYLO REN ; Where is it?
STORMTROOPER ; Request air support!
KYLO REN ; The map. You've seen it.
STORMTROOPER ; Sir, Resistance fighters! We need more troops.
KYLO REN ; Pull the division out. Forget the  droid. We have what we need.
STORMTROOPER ; Pull back the tree line!
FINN ; NO!! REY!!!
FINN ; No, no, no, no... REY!!
FINN ; He took her! Did you see that? He took her. She's gone!
HAN ; Yeah, yeah, I know...
C-3PO;Goodness! Han Solo! It is I, See-Threepio! You probably don't recognize me because of the red arm. Look who it is! Did you see who? Oh. Excuse me, Prin-- uh, General. Sorry. Come along, BB-8. Quickly. Yes, I must get my proper arm reinstalled.
HAN ; You changed your hair.
LEIA ; Same jacket.
HAN ; No, new jacket.
HAN ; I saw him. Leia, I saw our son. He was here.
FINN ; Poe. Poe Dameron.
FINN ; You're alive!
POE ; So are you!
FINN ; What happened to you?
POE ; What happened? I got thrown from the crash, woke up at night -- no you, no ship, nothing--
POE ;BB-8 says that you saved him.
FINN ; No, no, no. It wasn't just me.
POE ; You completed my mission, Finn. That's my jacket?
FINN ; Oh here.
POE ; No, no, no. Keep it. It suits you. You're a good man, Finn.
FINN ;  Poe -- I need your help.
POE ; General Organa. Sorry to interrupt, this is Finn, he needs to talk to
LEIA ; And I need to talk to him. That was incredibly brave, what you did. Renouncing the First Order, saving this man's life --
FINN ; Thank you, ma'am -- but a friend of mine was taken prisoner--
LEIA ; Han told me about the girl, I'm sorry.
POE ; Finn's familiar with the weapon that destroyed the Hosnian system. He worked on the base.
LEIA ; We're desperate for anything you can tell us.
FINN ; That's where my friend was taken -- I've got to get there, fast.
LEIA ; And I will do everything I can to help, but first you must tell us all you know.
DR. KALONIA ; That sounds very scary. You must be so brave.
C-3PO;General, I regret to inform you, but this map recovered from BB-8 is only partially complete. And even worse, it matches no charted system on record. We simply do not have enough information to locate Master Luke.
LEIA ; I can't believe I was so foolish to think that I could just find Luke and bring him home.
HAN ; Leia...
LEIA ; Don't do that.
HAN ; Do what? She heads off.
LEIA ; Anything.
C-3PO; Princesses.
HAN ; I'm trying to be helpful!
LEIA ; When did that ever help? And don't say the Death Star.
C-3PO;BB-8. You're wasting your time.
C-3PO;It is very doubtful that R2 would have the rest of the map in his backup data. I am afraid not. R2-D2 has been in low power mode ever since Master Luke went away. Sadly, he may never be his old self again.
HAN ; Listen to me, will you? I know every time you... every time you look at me, you're reminded of him.
LEIA ; You think I want to forget him? I want him back!
HAN ; There was nothing we could've done. There was too much Vader in him.
LEIA ; That's why I wanted him to train with Luke. I just never should have sent him away. That's when I lost him. That's when I lost you both.
HAN ; We both had to deal with it in our own way. I went back to the only thing I was ever good at.
LEIA ; We both did.
HAN ; We lost our son, forever.
LEIA ; No.It was Snoke.
LEIA ; He seduced our son to the dark side. But we can still save him. Me. You.
HAN ; If Luke couldn't reach him, how could
LEIA ; Luke is a Jedi... you're his father. There's still light in him. I know it.
GENERAL STATURA ; General, the reconnaissance report on the enemy base is coming.
REY ; Where am I?
KYLO REN ; You're my guest.
REY ; Where are the others?
KYLO REN ; You mean the murderers, traitors and thieves you call friends? You'll be relieved to hear that I have no idea.
KYLO REN ; You still want to kill me.
REY ; That happens when you're being hunted by a creature in a mask.
KYLO REN ; Tell me about the droid.
REY ; He's a BB unit with a selenium drive and a thermal hyperscan vindicator
