Name;parole
PALPATINE;Send them in.
YODA;With you the force is strongyoung Senator. To see you alivebrings warm feeling to my heart.
PADMÉ;Thank you, Master Yoda. Do youhave any idea who was behindthe attack?
MACE WINDU;Our intelligence points todisgruntled spice miners, onthe moons of Naboo.
PADMÉ;I don't wish to disagree but Ithink that Count Dooku was behindit.
MACE WINDU;You know, M'Lady, Count Dookuwas once a Jedi. He wouldn'tassassinate anyone, it is not inhis character.
KI-ADI-MUNDI;He is a political idealist, nota murderer.
YODA;In dark times nothing is what itappears to be, but the fact remainsSenator, in grave danger you are.
PALPATINE;Count Dooku has always avoidedany kind of conflict. It appearshe has no desire to start a war.Why would he kill you? To what end?
PADMÉ ;I don't know, but everything in mybeing tells me he was behind it 
PALPATINE;Master Jedi, may I suggest thatthe Senator be placed under theprotection of your graces.
BAIL ORGANA;Do you think that is a wise useof manpower during these stressfultimes?
PADMÉ;Chancellor, if I may comment, Ido not believe the
PALPATINE;No, but I do, Senator.
PADMÉ;Chancellor, please! I don't wantany more guards!
PALPATINE;I realise all too well thatadditional security might bedisruptive for you, but perhapssomeone you are familiar with anold friend like Master Kenobi
MACE WINDU;That's possible. He has justreturned from a Border dispute onAnsion.
PALPATINE;You must remember him, M'Ladyhe watched over you during theblockade conflict.
PADMÉ;This is not necessary, Chancellor.
PALPATINE;Do it for me, M'Lady, please. Iwill rest easier. We had a bigscare today. The thought oflosing you is unbearable.
MACE WINDU;I will have Obi-Wan report to youimmediately, M'Lady.
YODA;Too little about yourself youworry, Senator, and too much aboutpolitics. Be mindful of yourdanger, Padmé. Accept our help.
PALPATINE;I will not like this Republiv, thathas stood for over a thousandyears, be split in two
JAR JAR;Obi! Obi! Obi! Mesa sooo smilento see'en yousa. Wahoooooo!
OBI-WAN;It's Good to see you, too, Jar Jar.
JAR JAR;Oops! Wheresa mesa manners?Excuse me, Master Obi-Wan. Icompletely forgot myself fora moment there. I have had to learnDiplodiaclect speak it like anative now. Don't really see thepoint, actually, but members ofthe Senate seem to prefer it
JAR JAR;and this, I take it, is yourapprentice Nooooooooo! Annie?Noooooooo! Little Bitty Annie?Nooooooo! Yousa so biggen!Yiyiyiyyi! Annie!! Mesa nobelieven.
ANAKIN;Hi, Jar Jar.
JAR JAR;Annie! Annie! Yiyiyiyiyiyiiii!
JAR JAR;Lookie lookie Oops! Oh,dear, I'm afraid I've forgottenmyself again.
OBI-WAN;It's a great pleasure to see you again,M'Lady.
PADMÉ;It has been far too long MasterKenobi. I'm so glad our pathshave crossed again but I mustwarn you that I think yourpresence here is unnecessary.
OBI-WAN;I'm sure the Jedi Council havetheir reasons.
PADMÉ;Annie??My goodness you've grown.
ANAKIN;So have you grown morebeautiful, I mean and muchshorter for a Senator, I mean.
PADMÉ;Oh Annie, you'll always be thatlittle boy I knew on Tatooine.
OBI-WAN;Our presence will be invisible,M'Lady.
CAPTAIN TYPHO;I am very grateful you are here,Master Kenobi. The situation ismore dangerous than the Senatorwill admit.
PADMÉ;I don't need more security, I needanswers. I want to know who istrying to kill me.
OBI-WAN;We're here to protect youSenator, not to start aninvestigation.
ANAKIN;We will find out who is trying tokill you Padmé, I promise you.
OBI-WAN;We are not going to exceed ourmandate, my young Padawan learner.
ANAKIN;I meant in the interest ofprotecting her, Master, of course.
OBI-WAN;We are not going through thisexercise again, Anakin. You willpay attention to my lead.
ANAKIN;Why?
OBI-WAN;What??!!
ANAKIN;Why else do you think we wereassigned to her, if not to findthe killer? Protection is a jobfor local security not Jedi.It's overkill, Master.Investigation is implied in ourmandate.
OBI-WAN;We will do as the Council hasinstructed, and you will learnyour place, young one.
PADMÉ;Perhaps with merely your presence,the mysteries surrounding thisthreat will be revealed.  Now ifyou will excuse me I will retire.
CAPTAIN TYPHO;Well, I know I feel a lot betterhaving you here.I'll have an officer on everyfloor and I'll be at the commandcentre downstairs.
JAR JAR ;Mesa busten wit happiness seeinYousa again, Annie. Deesa badtimes, bombad times.
ANAKIN;She didn't even recognise me, JarJar. I thought about her everyday since we parted and she'sforgotten me completely.
JAR JAR;Shesa happy. Happier den mesasee-en her in longo time.
OBI-WAN;Anakin, you're focusing on theNegative again. Be mindful of yourthoughts. She was glad to see us.Now lets check the security here.
ANAKIN;Yes, my master.
MACE WINDU;Why couldn't we see this attack onthe Senator?
YODA;Masking the future, is thisdisturbance in the Force.
MACE WINDU;The propecy is coming true, theDark Side is growing.
YODA;And only those who have turned tothe Dark Side can sense thepossibilities of the future. Onlygoing through the Dark Side can wesee.
MACE WINDU;It's been ten years, and the Sithstill have no shown themselves.Do you think they are behind this?
YODA;Out there, they are. Acertainty that is.
MACE WINDU;Do you think Obi-Wan's apprenticewill be able to bring balance tothe Force?
YODA;Only if he chooses to follow hisdestiny.
OBI-WAN;Captain Typho has more than enoughmen downstairs. No assassin willtry that way. Any activity uphere?
ANAKIN;Quiet as a tomb. I don't likejust waiting here for something tohappen to her.
OBI-WAN;What's going on?
ANAKIN;She covered that camera. I don'tthink she liked me watching her.
OBI-WAN;What is she thinking?
ANAKIN;She programmed Artoo to warn us ifthere's an intruder.
OBI-WAN;It's not an intruder I'm worriedabout. There are many other waysto kill a Senator.
ANAKIN;I know, but we also want to catchthis assassin. Don't we, Master?
OBI-WAN;You're using her as bait??
ANAKIN;It was her idea No harm willcome to her. I can senseeverything going on in that room.Trust me.
OBI-WAN;It's too risky and your sensesaren't that attuned, youngapprentice.
ANAKIN;And yours are?
OBI-WAN;Possibly.
OBI-WAN ;You look tired.
ANAKIN;I don't sleep well, anymore.
OBI-WAN ;Because of your mother?
ANAKIN;I don't know why I keep dreamingAbout her now. I haven't seen hersince I was little.
OBI-WAN;Dreams pass in time.
ANAKIN;I'd rather dream of Padmé. JustBeing around her again isintoxicating.
OBI-WAN;Mind your thoughts, Anakin, theybetray you. You've made acommitment to the Jedi order acommitment not easily brokenand don't forget she's apolitician. They're not to betrusted.
ANAKIN ;She's not like the others in theSenate, Master.
OBI-WAN;It's been my experience thatSenators are only focused onpleasing those who fund theircampaigns and they are morethan willing to forget theniceties of democracy to get thosefunds.
ANAKIN;Not another lecture, Master. Noton the economics of politics.It's too early in the morning andbesides, you're generalising. TheChancellor doesn't appear tobe corrupt.
OBI-WAN;Palpatine's a politician, I'veobserved that he is very clever atfollowing the passions andprejudices of the Senators.
ANAKIN;I think he is a good man. Myinstincts are very positiveabout
OBI-WAN;I sense it, too.
ANAKIN;Stay here!
OBI-WAN;I have a bad feeling about this.
ANAKIN;That was wacky! I almost lost youin the traffic.
OBI-WAN;What took you so long?
ANAKIN;Oh, you know, Master, I couldn'tfind a speeder I really liked,with an open cockpit and withthe right speed capabilitiesand then you know I had to get areally gonzo color
OBI-WAN;If you'd spend as much timeworking on your saber skills asyou do on your wit, young Padawan,you would rival Master Yoda as aswordsman.
ANAKIN;I thought I already did.
OBI-WAN;Only in your mind, my very youngapprentice. Careful!! Hey, easy!!
ANAKIN;Sorry, I forgot you don't likeflying, Master.
OBI-WAN;I don't mind flying butwhat you're doing is suicide!
ANAKIN;Master, you know I've been flyingsince before I could walk. I'm verygood at this.
OBI-WAN;Just slow down!
OBI-WAN;Wait! Don't go in there!
OBI-WAN;You know I don't like it when youdo that!
ANAKIN;Sorry, Master. Don't worry, thisguy's gonna kill himself anyminute now!
OBI-WAN;What are you doing? He's gonnablast me!
ANAKIN;Right - this isn't working.
OBI-WAN;That was too close!
ANAKIN;Clear that!
OBI-WAN;What??
ANAKIN;Clear the flag! We're losingpower! Hurry!
OBI-WAN;Whooooaaa! Don't do that! Idon't  like it when you do that!
ANAKIN;So sorry, Master.
OBI-WAN;It's dangerous near those powercouplings! Slow down! Don't gothrough there!
OBI-WAN;Yiiii, what are you doing?
ANAKIN;Sorry, Master!
OBI-WAN;Oh, that was good
ANAKIN;That was crazy!!!
ANAKIN;Ahh, damn.
OBI-WAN;Stop!!
ANAKIN;No, we can make it.
OBI-WAN;I'm crazy I'm crazy I'mcrazy.
ANAKIN;But it worked we made it.
OBI-WAN;It didn't work we've stalled!And you almost got us killed!
ANAKIN;I think we're still alive.
OBI-WAN;It was stupid!
ANAKIN;I could have made it
OBI-WAN;But you didn't!!! And now we'velost him.
ANAKIN;No we didn’t
OBI-WAN;Where are you going?! He wentdown there, the other way.
ANAKIN;This is a shortcut I think.
OBI-WAN;What do you mean, ‘You think?’What kind of shortcut?! He wentcompletely the other way! You’velost him!
ANAKIN;Master, if we keep this chasegoing, that creep’s gonna end updeep fried. Personally, I’d verymuch like to find out who in thehell he is and who he’s workingfor
OBI-WAN;Oh, so that’s why we’re going inthe wrong direction.
OBI-WAN;Well, you lost him.
ANAKIN;I’m deeply sorry, Master.
ANAKIN;Excuse me for a moment.
OBI-WAN;Anakin!
ANAKIN;She went into that club, Master.
OBI-WAN;Patience.
OBI-WAN; 	Here. Next time try not to lose it.
ANAKIN;Sorry, Master.
OBI-WAN;A Jedi's saber is his mostprecious possession.
ANAKIN;Yes, Master.
OBI-WAN;He must keep it with him at alltimes.
ANAKIN;I know, Master.
OBI-WAN;This weapon is your life!
ANAKIN;I've heard this lesson before
OBI-WAN;But, you haven't learned anything,Anakin.
ANAKIN;I try, Master.
OBI-WAN;Why do I think you are going to bethe death of me?!
ANAKIN;Don't say that Master You'rethe closest thing I have to afather I love you. I don't wantto cause you pain.
OBI-WAN;Then why don't you listen to me?!
ANAKIN;I will. I'll do better, I promise.
OBI-WAN;Do you see him him?
ANAKIN;I think he's a she
OBI-WAN;Then be extra carefulCheck it out.
ANAKIN;Where are you going, Master?
OBI-WAN;To get a drink.
ELAN SLEAZEBAGGANO;Wanna buy some death sticks?
OBI-WAN;You don't want to sell me death-sticks.
ELAN;I don't want to sell you death-sticks.
OBI-WAN;You want to go home and rethink your life.
ELAN;I want to go home and rethink mylife.
ANAKIN;Easy Official business. Goback to your drinks.
OBI-WAN;Do you know who it was you weretrying to kill?
ZAM WESSEL;The Senator from Naboo.
OBI-WAN;Who hired you?
ZAM WESSEL;It was just a job.
ANAKIN;Tell us!
ZAM WESSEL;That Senator's gonna die soonanyway, and the next one won'tmake the same mistake I did
OBI-WAN;This wound's going to needtreatment.
ANAKIN;Who hired you? Tell us tell usnow!
ZAM;It was a Bounty Hunter called
OBI-WAN;Toxic Dart
PADMÉ;Representative Binks. I know I cancount on you.
JAR JAR;Yousa betchen mesa bottums.
PADMÉ;What?!
JAR JAR;Oh, pardone-ay, Senator. I mean,I am honoured to accept this heavyburden. I take on thisresponsibility with deep humilitytinged with an overwhelming pride.It is not every day that I amcalled upon to
PADMÉ;You're a good friend, Jar Jar. Idon't wish to hold you up. I'msure you have a great deal to do.
JAR JAR;Of course, M'lady.
PADMÉ;I do not like this idea of hiding.
ANAKIN;Don't worry. Now that the Councilhas ordered an investigation, itwon't take Master Obi-Wan long tofind that bounty hunter.
PADMÉ;"I haven't worked for a year todefeat the ""Military Creation Act""not to be here when its fate isdecided."
ANAKIN;Sometimes we have to let go of ourpride and do what is requested ofus.
PADMÉ;Pride?!? Annie, you're young, andyou don't have a very firm grip onpolitics. I suggest you reserveyour opinions for some other time.
ANAKIN;Sorry, M'lady. I was only tryingto
PADMÉ;Annie! No!
ANAKIN;Please don't call me that.
PADMÉ;What?
ANAKIN;Annie
PADMÉ;I've always called you that itis your name, isn't it?
ANAKIN;It's Anakin. When you say Annieit's like I'm still a littleboy and I'm not.
PADMÉ;I'm sorry, Anakin. It's impossibleto deny you'vethat you've grown up.
ANAKIN;Master Obi-Wan manages not to seeit
PADMÉ;Mentors have a way of seeing moreof our faults than we would like.It's the only way we grow.
ANAKIN;Don't get me wrong Obi-Wan isa great mentor. As wise as MasterYoda and as powerful as MasterWindu. I am truly thankful to behis apprentice. Only althoughI'm a Padawan learner, in someways a lot of ways I'm aheadof him. I'm ready for the trials.I know I am! He knows it too. Hebelieves I'm too unpredictableOther Jedi my age have gonethrough the trials and made itI know I started my traininglate but he won't let me moveon.
PADMÉ;That must be frustrating.
ANAKIN;It's worse he's overlycritical. He never listens! Hejust doesn't understand! It's notfair!
PADMÉ;I'm sorry You sounded exactlylike that little boy I once knew,when he didn't get his way.
ANAKIN;I'm not whining! I'm not.
PADMÉ;I didn't say it to hurt you.
ANAKIN;I know
PADME;Anakin
PADMÉ;Don't try to grow up too fast.
ANAKIN;I am grown up. You said ityourself.
PADMÉ;Please don't look at me like that.
ANAKIN;Why not?
PADMÉ;Because I can see what you'rethinking.
ANAKIN;Ahh so, you have Jedi powerstoo?
PADMÉ;It makes me feel uncomfortable.
ANAKIN;Sorry, M'lady.
CAPTAIN TYPHO;Be safe, m'lady.
PADMÉ;Thank you, Captain. Take goodcare of Dorme the threat's onyou two now.
DORME;He'll be safe with me.
PADMÉ;You'll be fine.
DORME;It's not me, M'Lady. I worryabout you. What if they realiseI'm not you?
PADMÉ;Then my Jedi protector will haveto prove how grown up he is.
OBI-WAN;Anakin, you stay put on Naboo.Do not attract any attention. Doabsolutely nothing withoutchecking in with me or the Council.
ANAKIN;Yes, Master.
OBI-WAN;I will get to the bottom of thisplot quickly, M'Lady. You'll beback here in no time.
PADMÉ;I will be most grateful for yourspeed, Master Jedi.
ANAKIN;Time to go.
PADMÉ;I know. 
OBI-WAN;May the Force be with you.
ANAKIN;May the Force be with you, Master.
PADMÉ;Suddenly, I'm afraid
ANAKIN;I'm kinda scared too. This is myfirst assignment on my own.
PADMÉ;There's nothing to worry aboutwe have Artoo with us.
OBI-WAN;I hope he doesn't try anythingfoolish.
CAPTAIN TYPHO;I'd be more concerned about herdoing something, than him.
PK-4;Place the subject for analysis onthe sensot tray, please.
OBI-WAN;It's a toxic dart. I need to knowwhere it came from and who made it.
PK-4;One moment, please.
PK-4;As you can see on your screen,subject weapon does not exist inany known culture. Markingscannot be identified. Probabltself-made by a warrior notassociated with any known society.
OBI-WAN;Excuse me? Could you try againplease?
PK-4;Master Jedi, our records are verythorough. they cover eightpercent of the galaxy. If I can'ttell you where it came from,nobody can.
OBI-WAN;Thanks for your assistance! Youmay not be able to figure thisout, but I think I know someonewho might.
SERVER;Keep moving! Keep moving!
FOOD SERVER;Hey! No Droids!
ANAKIN;No, no, Mom, no
ANAKIN;What?
PADMÉ;You seemed to be having anightmare.
PADMÉ;Are you hungry?
ANAKIN;Thank you.
PADMÉ;We went into lightspeed a whileago.
ANAKIN;I look forward to seeing Nabooagain. I've thought about it everyday since I left. It's by far themost beautiful place I've everseen
PADMÉ;"You were just a little boy then.It may not be as you remember it;time changes your perception."
ANAKIN;I think time has given me muchmore mature feelings to enhance myperception.
PADMÉ;It must be difficult having swornyour life to the Jedi not beingable to visit the places youlike or do the things youlike
ANAKIN;Or be with the people I love.
PADMÉ;Are you allowed to love? Ithought that was forbidden for aJedi.
ANAKIN;Attachment is forbidden.Possession is forbidden.Compassion, which I would defineas unconditional love, is centralto a Jedi's life, so you might saywe're encouraged to love.
PADMÉ;You have changed so much
ANAKIN;You haven't changed a bit. You'reexactly the way I remember you inmy dreams. I doubt if Naboo haschanged much either.
PADMÉ;It hasn't
ANAKIN;I can't wait to breathe the sweetbreeze that comes off the rollinghills. Whenever I try tovisualise the Force, those hillsare what I see.
ANAKIN;I love Naboo.
PADMÉ;Were you dreaming about youmother earlier, weren't you?
ANAKIN;Yes I left Tatooine so longago, my memory of her is fading.I don't want to lose it. RecentlyI've been seeing her in mydreams vivid dreams scarydreams. I worry about her.
HERMIONE;Can I help ya?
OBI-WAN;I'm looking for Dexter.
HERMIONE BAGWA;Waddya want him for?
OBI-WAN;He's not in trouble. It'spersonal.
HERMIONE BAGWA;Someone to see ya, honeyA Jedi, by the looks of him.
DEXTER JETTSTER;Obi-Wan!
OBI-WAN;Hey, Dex.
DEXTER JETTSTER;Take a seat! Be right with ya!
HERMIONE BAGWA;You want a cup of ardees?
OBI-WAN;Thank you.
DEXTER JETTSTER;Hey, ol' buddy!
OBI-WAN;Hey, Dex.
DEXTER JETTSTER;So, my friend. What can I do forya?
OBI-WAN;You can tell me what this is.
DEXTER JETTSTER;Well, whattaya know
DEXTER JETTSTER;I ain't seen one of these since Iwas prospecting on Subterrelbeyond the Outer Rim!
OBI-WAN;Do you know where it came from?
DEXTER JETTSTER;This baby belongs to them cloners.What you got here is a KaminoKyberdart.
OBI-WAN;Kamino Kyberdart I wonder whyit didn't show up in any analysisarchive.
DEXTER JETTSTER;It's these funny little cuts onthe side give it awayThose analysis droids you've gotover there only focus on symbols,you know. I should think you Jediwould have more respect for thedifference between knowledge andwisdom.
OBI-WAN;Well, Dex, if droids could think, wewouldn't be here, would we?Kamino doesn't sound familiar.Is it part of the Republic?
DEXTER JETTSTER;No, it's beyond the Outer Rim.I'd say about twelve parsecsoutside the Rishi Maze, toward thesouth. It should be easy to find,even for those droids in yourarchive to find. Those Kaminoanskeep to themselves. They'recloners. Damned good ones, too.
OBI-WAN;Cloners? Are they friendly?
DEXTER JETTSTER;It depends.
OBI-WAN;On what, Dex?
DEXTER JETTSTER;On how good your manners areand how big your pocketbook is
ANAKIN;If I grew up here, I don't thinkI'd ever leave.
PADMÉ;I doubt that.
ANAKIN;No, really. When I started mytraining, I was very homesick andvery lonely. This city and my Momwere the only pleasant things Ihad to think about The problemwas, the more I thought about myMom, the worse I felt. But Iwould feel better if I thoughtabout the palace - the way itshimmers in the sunlight - the waythe air always smells of flowers
PADMÉ;and the soft sound of thedistant waterfalls. The firsttime I saw the Capital, I was veryyoung I'd never seen awaterfall before. I though theywere so beautiful I neverdreamed one day I'd live in thepalace.
ANAKIN;Well, tell me, did you dream ofpower and politics when you werea little girl?
PADMÉ;"No! That was the last thing Ithought of. My dream was to helpin the ""Refugee Relief Movement.""I never thought of running forelected office. But the morehistory I studied, the more Irealised how much good politicianscould do. So when I was eight, Ijoined the ""ApprenticeLegislators"", then later on becamea Senatorial advisor, with such apassion that, before I knew it, Iwas elected Queen. Partly becauseI scored so high on my educationcertificate, but for the most partit was my conviction that reformwas possible. I wasn't theyoungest Queen ever elected, butnow that I think back on it, I'mnot sure I was old enough. I'm notsure I was ready."
ANAKIN;The people you served thought youdid a good job. I heard theytried to amend the Constitution soyou could stay in office.
PADMÉ;Popular rule is not democracy,Annie. It gives the people whatthey want, not what they need.And, truthfully, I was relievedwhen my two terms were up. Sowere my parents. They worriedAbout me during the blockade andcouldn't wait for it all to beover. Actually, I was hoping tohave a family by now Mysisters have the most amazing,wonderful kids but when theQueen asked me to serve asSenator, I couldn't refuse her.
ANAKIN;I agree! I think the Republicneeds you I'm glad you choseto serve. I feel things are goingto happen in our generation thatwill change the galaxy in profoundways.
PADMÉ;I think so too.
QUEEN JAMILLIA;We've been worried about you.I'm so glad you're safe, Padmé.
PADMÉ;Thank you, Your Highness. I onlyWish I could have served youbetter by staying on Coruscant forthe vote.
SIO BIBBLE;Given the circumstances, Senator,you know it was the only decisionHer Highness could have made.
QUEEN JAMILLIA;How many systems have joined CountDooku and the separatists?
PADMÉ;About two hundred. And more areleaving the Republic every day.If the Senate votes to create anarmy, I'm sure it's going to pushus into a civil war.
SIO BIBBLE;It's unthinkable! There hasn'tbeen a full-scale war since theformation of the Republic!
QUEEN JAMILLIA;Do you see any way, throughnegotiations, to bring theseparatists back into the Republic?
PADMÉ;Not if they feel threatened. Theseparatists don't have an army,but if they are provoked, theywill move to defend themselves.I'm sure of that. And with no timeor money to build an army, myguess is they will turn to theCommerce Guilds or the TradeFederation for help.
QUEEN JAMILLIA;The armies of commerce! Why hasNothing been done in the Senateto restrain them?
PADMÉ;I'm afraid that, despite theChancellor's best efforts, thereare still many bureaucrats,judges, and even Senators on thepayrolls of the Guilds.
SIO BIBBLE;It's outrageous! After all ofthose hearings, and the four trials inthe Supreme Court, Nute Gunray isstill the Viceroy of the TradeFederation. Do those moneymongers control everything?
QUEEN JAMILLIA;Remember, Counsellor, the courtswere able to reduce theFederation's armies. That's amove in the rightdirection.
PADMÉ;There are rumours, Your Highness,that the Federation Army was notreduced as they were ordered.
ANAKIN;The Jedi have not been allowed toinvestigate. It would be to be toodangerous for the economy, we weretold.
QUEEN JAMILLIA;We must keep our faith in theRepublic. The day we stopbelieving democracy can work isthe day we lose it.
PADMÉ;Let's pray that day never comes.
QUEEN JAMILLIA;In the meantime, we must consideryour own safety.
SIO BIBBLE;What is your suggestion, MasterJedi?
PADMÉ;Anakin's not a Jedi yet, Counsellor.He's still a Padawan learner. Iwas thinking
ANAKIN;Hey, hold on a minute!
PADMÉ;Excuse me! I was thinking I wouldstay in the Lake Country. Thereare some places up there that arevery isolated.
ANAKIN;Excuse me?! I am in charge ofsecurity here, M'Lady.
PADMÉ;Annie, my life is at risk, andthis is my home. I know it verywell that is why we're here.I think it would be wise for youto take advantage of my knowledgein this instance.
ANAKIN;Sorry, M'Lady.
SIO BIBBLE;She is right. The Lake Country isthe most remote part of Naboo.Not many people and a clear viewof the surrounding terrain.
QUEEN JAMILLIA;Perfect. It's settled then.
QUEEN JAMILLIA;Padmé, I had an audience with yourfather yesterday. I told him whatwas happening. He hopes you willvisit your mother before youleave your family's veryworried about you.
JOCASTA NU;Did you call for assistance?
OBI-WAN;Yes yes, I did
JOCASTA NU;He has a powerful face, doesn'the? He was one of the mostbrilliant Jedi I have had theprivilege of knowing.
OBI-WAN;I never understood why he quit.Only twenty Jedi have ever leftthe Order.
JOCASTA NU;The Lost Twenty and Count Dookuwas the most recent and the mostpainful. No one likes to talkabout it. His leaving was a greatloss to the Order.
OBI-WAN;What happened?
JOCASTA NU;Well, one might say, he was alwaysa bit out of step with thedecisions of the Council muchlike your old Master, Qui-Gon Jinn.
OBI-WAN;Really?
JOCASTA NU;Oh, yes. They were alike in manyways. Very individual thinkersidealists
JOCASTA NU;He was always striving to becomea more powerful Jedi. He wantedto be the best. With a lightsaber,in the old style of fencing, hehad no match. His knowledge ofthe Force was unique. In theend, I think he left because helost faith in the Republic. Hebelieved that politics werecorrupt, and he felt the Jedibetrayed themselves by serving thepoliticians. He always had veryhigh expectations of government.He disappeared for nine or tenyears, then he just showed uprecently as the head of theseparatist movement.
OBI-WAN;Interesting I'm still not sureI understand.
JOCASTA NU;Well, I'm sure you didn't call meover here for a history lesson.Are you having a problem, MasterKenobi?
OBI-WAN;Yes, I'm trying to find a planetsystem called Kamino. It doesn'tseem to show upon any of thearchive charts.
JOCASTA NU;Kamino? It's not a system I'Mfamiliar with Let me see
JOCASTA NU;Are you sure you have the rightco-ordinates?
OBI-WAN;According to my information, itshould be in this quadrantsomewhere just south of theRishi Maze.
JOCASTA NU;No co-ordinates? It sounds like thekind of directions you'd get froma street tout some old miner orFurbog trader.
OBI-WAN;All three actually.
JOCASTA NU;Are you sure it exists?
OBI-WAN;Absolutely.
JOCASTA NU;Let me do a gravitational scan.
JOCASTA NU;There are some inconsistencieshere. Maybe the planet you'relooking for was destroyed.
OBI-WAN;Wouldn't that be on record?
JOCASTA NU;It ought to be. Unless it was veryrecent. I hate to say it, but it lookslike the system you're searchingfor doesn't exist.
OBI-WAN;That's impossible perhaps thearchives are incomplete.
JOCASTA NU;The archives are comprehensive andtotally secure, my young Jedi.One thing you may be absolutelysure of - if an item does notappear in our records, it does notexist!
PADME;There's my house!
PADME;What? Don't say you're shy!
ANAKIN;No, but I
RYOO & POOJA;Aunt Padme!! Aunt Padme!!
PADME;Ryoo!! Pooja!!
PADME;I'm so happy to see you! This isAnakin. Anakin, this is Ryoo, andthis is Pooja.
RYOO & POOJA;Artoo!!!
SOLA;They're eating over at JevNarran's later, Mom. They justhad a snack. They'll be fine.
PADME;Anakin, this is my sister, Sola.
SOLA;Hello, Anakin.
ANAKIN;Hello.
JOBAL;You're just in time for dinner. Ihope you're hungry, Anakin.
ANAKIN;A little.
PADME;He's being polite, Mom. We'restarving.
RUWEE;You came to the right place at theright time. Sit down, son.
JOBAL;Honey, it's so good to see yousafe. We were so worried.
RUWEE;Dear
JOBAL;I know, I know but I had to sayit. Now it's done.
SOLA;Well, this is exciting! Do youknow, Anakin, you're the firstboyfriend my sister's ever broughthome?
PADME;Sola!! He isn't my boyfriend!He's a Jedi assigned by the Senateto protect me.
JOVAL;A bodyguard?! Oh, Padme! Theydidn't tell us it was that serious!
PADME;It's not, Mom, I promise.Anyway, Anakin's a friend. I'veknown him for years. Rememberthat little boy who was with theJedi during the blockade crisis?
PADME;He grew up.
JOBAL;Honey, when are you going tosettle down? Haven't you hadenough of that life? I certainlyhave!
PADME;Mom, I'm not in any danger.
RUWEE;Is she?
ANAKIN;Yes I'm afraid she is.
PADME;But not much.
RUWEE;Sometimes I wish I'd traveledmore but I must say, I'm happyhere.
ANAKIN;Padme tells me you teach at theuniversity?
RUWEE;Yes, and before that, I was abuilder. I also worked for theRefugee Relief Movement, when Iwas very young.
SOLA;Why haven't you told us about him?
PADMÉ;What's there to talk about?  He'sjust a boy.
SOLA;A boy? Have you seen the way helooks at you?
PADMÉ;Sola - stop it!
